BPA,Address,Description,PTS Existing Units,PTS Proposed Units,Proposed Units,Net Units,Net Units Completed,First Completion Date,Latest Completion Date,Extremely Low Income,Very Low Income,Low Income,Moderate Income,Moderate Income - NDR,Affordable Units,Market Rate,Affordable Units Estimate,Supervisor District,Analysis Neighborhood,Planning Dist.,Plan Area,Form No.,Permit Type,Issued Date,Authorization Date,Zoning District,Project Affordability Type,BlockLot,PPTS Project ID
201602089004,950 MARKET ST,"TO ERECT 13 STORIES, 2 BASEMENTS, TYPE I-A, 470 UNITS RESIDENTIAL, HOTEL, RETAIL BUILDING. (R-2,R-1,M)",0,470,470,470,242,09/03/2021 12:00:00 AM,11/12/2021 12:00:00 AM,0,0,0,0,0,0,470,,6,Tenderloin,4 - Downtown,Downtown,1,Site Permit,12/14/2017 12:00:00 AM,04/08/2019 12:00:00 AM,C-3-G,Inclu: Land Dedication,0342001,2013.1049
201611283577,30 OTIS ST,"TO ERECT 27 STORIES, 2 BASEMENT, TYPE I-A, 404 RESIDNETIAL UNITS, RETAIL, BALLET SCHOOL & COMMERCIAL. (R-2,M,B,A-1,A-3,S-2).",0,404,404,404,395,07/19/2021 12:00:00 AM,08/06/2021 12:00:00 AM,0,0,0,0,0,0,404,,6,Mission,8 - Mission,Downtown,1,Site Permit,01/22/2019 12:00:00 AM,08/09/2019 12:00:00 AM,C-3-G,Inclu: Fee Payment,3505016,2015-010013PRJ
201306210213,2171 03RD ST,"TO ERECT 7 STORIES,1 BASEMENT, TYPE IB, 109 UNITS RESIDENTIAL, RETAIL, PARKING BUILDING.",0,109,109,109,104,07/15/2020 12:00:00 AM,07/15/2020 12:00:00 AM,0,0,0,8,0,8,101,,10,Potrero Hill,9 - South of Market,Mission Bay,1,Site Permit,06/08/2017 12:00:00 AM,12/27/2017 12:00:00 AM,UMU,Inclu: On-Site BMR,4045003,2013.0784
201801128565,1856 PACIFIC AV,"PER ADU UNIT ORDINANCE# 162-16, CONVERT GROUND FLOOR AND BASEMENT LEVEL SPACES TO 5 ADUs. Structural work covered by separate permit.",11,16,16,5,1,08/11/2020 12:00:00 AM,08/11/2020 12:00:00 AM,0,0,0,0,5,5,0,,2,Pacific Heights,2 - Marina,,3,Full BP,07/11/2019 12:00:00 AM,07/11/2019 12:00:00 AM,RH-2,,0576011,2018-001265PRJ
9824818,1328 MISSION ST,4 STORY (12 LIVE WORK) 1 STORY PARKING,0,12,12,12,12,04/02/2016 12:00:00 AM,04/02/2016 12:00:00 AM,0,1,1,1,0,3,9,true,6,South of Market,4 - Downtown,Downtown,2,Full BP,08/16/1999 12:00:00 AM,08/16/1999 12:00:00 AM,C-3-G,Inclu: On-Site BMR,3508020,1998.940
200005028846,638 19th St,to erect 24 dwelling units (4 stories)  with commercial,0,24,18,18,18,06/03/2010 12:00:00 AM,06/03/2010 12:00:00 AM,0,0,1,1,0,2,16,true,10,Potrero Hill,9 - South of Market,Mission Bay,2,Site Permit,04/01/2003 12:00:00 AM,09/25/2003 12:00:00 AM,UMU,Inclu: On-Site BMR,4044030,2002.0184
200006172951,200 BRANNAN ST,TO ERECT 189 DWELLING UNITS,0,189,191,191,191,08/31/2006 12:00:00 AM,08/31/2006 12:00:00 AM,0,0,0,51,0,51,140,true,6,Financial District/South Beach,9 - South of Market,Rincon Hill,1,Site Permit,10/03/2000 12:00:00 AM,12/26/2001 12:00:00 AM,SB-DTR,Inclu: On-Site BMR,3774024,
200007175308,77 Van Ness Av,"TO ERECT A 8 STORIES,  50 UNITS RESIDENTIAL BUILDING WITH RETAIL SPACES.",0,50,50,50,50,08/25/2009 12:00:00 AM,08/25/2009 12:00:00 AM,0,2,2,2,0,6,44,true,6,Hayes Valley,5 - Western Addition,,1,Site Permit,08/16/2006 12:00:00 AM,12/13/2006 12:00:00 AM,C-3-G,Inclu: On-Site BMR,0834022,2000.074
200008299159,69 Clementina St,erect a seven story office bldg,0,0,18,18,18,03/24/2006 12:00:00 AM,03/24/2006 12:00:00 AM,0,0,0,2,0,2,16,true,6,Financial District/South Beach,9 - South of Market,Yerba Buena,1,Site Permit,12/20/2000 12:00:00 AM,01/22/2001 12:00:00 AM,C-3-O(SD),Inclu: On-Site BMR,3736036,2000.191
200009090078,6901 Geary Bl,to erect 15 units residential 5 comm'l,0,15,15,15,15,04/14/2006 12:00:00 AM,04/14/2006 12:00:00 AM,0,0,2,0,0,2,13,true,1,Outer Richmond,1 - Richmond,Geary Corridor,2,Site Permit,04/21/2004 12:00:00 AM,05/21/2004 12:00:00 AM,NC-1,Inclu: On-Site BMR,1511001,2001.0446
200011024693,25 Sierra St,erect a 4 story 67 unit residential bldg with office and retail space,0,67,67,67,67,11/15/2006 12:00:00 AM,11/15/2006 12:00:00 AM,0,2,3,2,0,7,60,true,10,Potrero Hill,9 - South of Market,Mission Bay,2,Site Permit,07/11/2003 12:00:00 AM,07/01/2004 12:00:00 AM,MUR,Inclu: On-Site BMR,4101060,2000.333
200011044925,150 Powell St,remodel (e) bldg/vertical and horizontal additionseismic upgrade new electrical new mechanical,0,45,45,45,45,11/30/2006 12:00:00 AM,11/30/2006 12:00:00 AM,0,1,1,1,0,3,42,true,3,Financial District/South Beach,4 - Downtown,Downtown,3,Site Permit,07/19/2004 12:00:00 AM,11/30/2004 12:00:00 AM,C-3-R,Inclu: On-Site BMR,0327022,2000.986
200011296742,438 Clementina St,erect a new 6 story 20 unit mixed use bldng.,0,20,20,20,20,07/23/2008 12:00:00 AM,07/23/2008 12:00:00 AM,0,0,0,3,0,3,17,true,6,South of Market,9 - South of Market,Downtown,1,Site Permit,09/17/2004 12:00:00 AM,02/11/2005 12:00:00 AM,MUR,Inclu: On-Site BMR,3732062,2002.0896
200012117629,355 01st St,erect a 27 story with penthouse-206 unit residential bldg-south tower,0,206,206,206,206,08/17/2005 12:00:00 AM,08/17/2005 12:00:00 AM,0,0,20,14,0,34,172,true,6,Financial District/South Beach,9 - South of Market,Rincon Hill,1,Site Permit,12/15/2001 12:00:00 AM,07/18/2002 12:00:00 AM,RH DTR,Inclu: On-Site BMR,3748032,2002.0802
200012117630,333 01st St,erect a 20 story plus penthouse 136 unit resiential bldg-north tower,0,136,136,136,136,08/17/2005 12:00:00 AM,08/17/2005 12:00:00 AM,0,0,0,14,0,14,122,true,6,Financial District/South Beach,9 - South of Market,Rincon Hill,1,Site Permit,12/15/2001 12:00:00 AM,07/18/2002 12:00:00 AM,RH DTR,Inclu: On-Site BMR,3748032,1999.579
200101059321,1452 BUSH ST,erect a 9 story 22 unit residential bldg with coml,0,22,22,22,22,06/21/2019 12:00:00 AM,06/21/2019 12:00:00 AM,0,0,2,1,0,3,19,true,3,Nob Hill,3 - Northeast,Van Ness Corridor,1,Site Permit,05/23/2002 12:00:00 AM,08/14/2002 12:00:00 AM,RC-4,Inclu: On-Site BMR,0667008,2002.1211
200106252306,1 Polk St,"to erect 179 dwelling,retail,parking",0,179,179,179,179,11/13/2008 12:00:00 AM,11/13/2008 12:00:00 AM,0,3,4,3,0,10,169,true,6,Tenderloin,4 - Downtown,,1,Site Permit,11/12/2004 12:00:00 AM,11/12/2004 12:00:00 AM,C-3-G,Inclu: On-Site BMR,0814004,2000.586
200107204160,199 New Montgomery St,to erect parking retail 166 residentials,0,166,166,166,166,01/06/2006 12:00:00 AM,01/06/2006 12:00:00 AM,0,0,0,18,0,18,148,true,6,Financial District/South Beach,4 - Downtown,Downtown,1,Site Permit,07/23/2003 12:00:00 AM,08/20/2003 12:00:00 AM,C-3-O(SD),Inclu: On-Site BMR,3722021,2001.0669
200110110515,55 Page St,erect an eight story 127 unit residential bldg,0,127,127,127,127,10/01/2008 12:00:00 AM,10/01/2008 12:00:00 AM,0,0,0,17,0,17,110,true,5,Hayes Valley,6 - Buena Vista,Lower Haight Public Realm Plan,1,Site Permit,01/12/2004 12:00:00 AM,03/16/2004 12:00:00 AM,NCT-3,Inclu: On-Site BMR,0854008,2006.0229
200202219626,1168 Folsom St,erect a five story twenty dwelling residential bldg,0,20,20,20,20,12/22/2005 12:00:00 AM,12/22/2005 12:00:00 AM,0,0,1,0,0,1,19,true,6,South of Market,9 - South of Market,,2,Site Permit,12/22/2003 12:00:00 AM,02/24/2004 12:00:00 AM,NCT,Inclu: On-Site BMR,3730123,2006.0504
200203262363,1600 Webster St,erect a 48 dwelling units 5 story bldg,0,48,48,48,48,12/01/2005 12:00:00 AM,12/01/2005 12:00:00 AM,0,0,0,2,0,2,46,true,5,Japantown,5 - Western Addition,Japantown,2,Site Permit,01/24/2003 12:00:00 AM,03/11/2003 12:00:00 AM,NCD,Inclu: On-Site BMR,0685051,2003.0689
200205025568,724 Van Ness Av,erect a fourteen story 130 unit residential bldg with offices  & retail,0,130,130,130,130,02/11/2011 12:00:00 AM,02/11/2011 12:00:00 AM,0,5,6,5,0,16,114,true,6,Tenderloin,4 - Downtown,Van Ness Corridor,2,Site Permit,05/18/2005 12:00:00 AM,07/06/2005 12:00:00 AM,RC-4,Inclu: On-Site BMR,0742008,2004.0839
200206260054,2200 Mission St,erect a five story twenty three unit residential bldg with coml,0,23,23,23,23,05/01/2009 12:00:00 AM,05/01/2009 12:00:00 AM,0,0,0,3,0,3,20,true,9,Mission,8 - Mission,,1,Site Permit,04/12/2004 12:00:00 AM,02/15/2005 12:00:00 AM,NCT,Inclu: On-Site BMR,3589001,2000.692
200209277625,270 Valencia St,to erect 5 stories   24 dwelling units/commercial,0,24,24,24,24,02/02/2006 12:00:00 AM,02/02/2006 12:00:00 AM,0,1,1,1,0,3,21,true,9,Mission,8 - Mission,,1,Site Permit,03/16/2004 12:00:00 AM,05/06/2004 12:00:00 AM,NCT-3,Inclu: On-Site BMR,3533009,2002.0333
200212203957,1160 Mission St,"ERECT 23 STORIES, 250 DWELLING UNITS OF RETAIL/PARKING RESIDENTIAL BUILDING.",0,250,250,250,250,03/24/2008 12:00:00 AM,03/24/2008 12:00:00 AM,0,0,0,29,0,29,221,true,6,South of Market,4 - Downtown,Mid-Market; Downtown,1,Site Permit,11/03/2005 12:00:00 AM,11/03/2005 12:00:00 AM,C-3-G,Inclu: On-Site BMR,3702037,2002.1179
200212203977,8 Landers St,erect a five story fourteen units residential bldg and commercial,0,14,14,14,14,05/25/2006 12:00:00 AM,05/25/2006 12:00:00 AM,0,0,1,0,0,1,13,true,8,Castro/Upper Market,7 - Central,,2,Site Permit,12/22/2003 12:00:00 AM,09/13/2004 12:00:00 AM,NCT,Inclu: On-Site BMR,3544072,2003.0699
200212244169,1301 Indiana St,"erect 5story, 32 units residential & retail, warehouse building.",0,32,32,32,32,06/12/2012 12:00:00 AM,06/12/2012 12:00:00 AM,0,0,0,4,0,4,28,true,10,Potrero Hill,9 - South of Market,Mission Bay,2,Site Permit,05/24/2007 12:00:00 AM,09/04/2007 12:00:00 AM,PDR-1-G,Inclu: On-Site BMR,4228010,2008.0755
200212264211,3184 Mission St,"erect a four story, 20 residential units with commercial",0,20,20,20,20,05/30/2006 12:00:00 AM,05/30/2006 12:00:00 AM,0,1,1,1,0,3,17,true,9,Bernal Heights,11 - Bernal Heights,Mission District Streetscape Plan,2,Site Permit,03/18/2005 12:00:00 AM,08/15/2005 12:00:00 AM,NCD,Inclu: On-Site BMR,6574015,2002.1198
200301064572,1838 Geneva Av,erect 4 story 16 unit residential bldg,0,16,16,16,16,09/10/2008 12:00:00 AM,09/10/2008 12:00:00 AM,0,1,1,1,0,3,13,true,11,Excelsior,12 - South Central,,2,Site Permit,09/17/2004 12:00:00 AM,11/10/2004 12:00:00 AM,RH-2,Inclu: On-Site BMR,6423007,2006.0266
200302207850,2298 Lombard St,erect a 4 story 14 unit residential bldg with commercial,0,14,14,14,14,05/04/2007 12:00:00 AM,05/04/2007 12:00:00 AM,0,0,1,0,0,1,13,true,2,Marina,2 - Marina,,2,Site Permit,08/23/2004 12:00:00 AM,11/03/2004 12:00:00 AM,NC-3,Inclu: On-Site BMR,0490006,2003.0164
200305154682,88 Townsend St,construction of 112 residential units on 4 floors over 2 levels of parking and retail,0,112,112,112,112,11/09/2006 12:00:00 AM,11/09/2006 12:00:00 AM,0,0,0,13,0,13,99,true,6,Financial District/South Beach,9 - South of Market,,3,Site Permit,10/01/2003 12:00:00 AM,11/24/2003 12:00:00 AM,MUO,Inclu: On-Site BMR,3789933,
200306046302,8 Mclea Ct,"erect a four stories, twenty nine units residential bldg",0,29,29,29,29,03/07/2007 12:00:00 AM,03/07/2007 12:00:00 AM,0,1,1,1,0,3,26,true,6,South of Market,9 - South of Market,Rincon Hill,2,Site Permit,11/15/2004 12:00:00 AM,11/22/2004 12:00:00 AM,SALI,Inclu: On-Site BMR,3757073,2003.0889
